Timestamp,Age,Gender,Employment Status  ,Income Level (per Month) ,How often do you shop for products?,Which platform do you prefer for promotions? ,How often do you purchase products on discount? ,"How often do you wait for a sale before purchasing expensive items(e.g, electronics , fashion items)?","Do you usually plan your purchases around promotional events (e.g., holiday sales, clearance sales)?  ",Do promotions/offers encourage you to buy more than you originally intended?,Have you ever bought a product impulsively due to a discount or promotion?  ,"On average, how much more likely are you to purchase🛒 a product when it’s on sale?  ",Which type of promotions most influences your decision to buy a product?  ,How often do you use coupons or discount codes when shopping online,Do you prefer percentage discounts or fixed amount discounts?  ,How important are discounts when comparing two similar products?   ,Have you ever switched brands because of a discount or promotion?,Which promotional event influences your purchasing the most?,Would you continue purchasing from a brand if they stopped offering discounts?, Do you think discounts lower the perceived quality of a product?,How important are discounts in maintaining your loyalty to a brand? ,Does a brand offering regular promotions increase your trust in that brand?,How much does a discount influence your decision to buy from a specific brand?,"After purchasing a discounted product, how likely are you to return to the brand for full-price purchases?",How much does your perception of a brand change when it frequently offers heavy discounts?,Column 27
27/09/2024 21:20:34,16-25,Female,Student,"30,000-59,000",Daily,In-store,Rarely,Sometimes,Yes,Sometimes,Yes,1,Percentage discount,Always,Percentage discount,Very important,Yes,End-of-Season Sales,Yes,Yes,Very important,Yes,Strongly influences,Very likely,Very positive,
27/09/2024 21:33:59,16-25,Male,Student,"Below 30,000",Weekly,In-store,Often,Sometimes,Sometimes,Sometimes,Yes,3,Percentage discount,Often,Percentage discount,Very important,Yes,Online Exclusive Discounts,Maybe,Sometimes,Somewhat important,Yes,Somewhat influences,Somewhat likely,Negative,
28/09/2024 10:06:43,Under 16,Female,Unemployed,"30,000-59,000",Monthly,In-store,Sometimes,Sometimes,No,Sometimes,No,1,Buy-one-get-one free,Always,Fixed amount discount,Neutral,No,Online Exclusive Discounts,Yes,No,Not important,Neutral,Somewhat influences,Somewhat likely,Neutral,
28/09/2024 10:11:27,26-35,Female,Self-employed,"60,000-89000",Weekly,Online,Sometimes,Sometimes,No,No,No,2,Buy-one-get-one free,Sometimes,Percentage discount,Not important,No,Online Exclusive Discounts,Yes,Yes,Somewhat important,Yes,Somewhat influences,Very likely,Somewhat positive,
28/09/2024 10:48:52,16-25,Female,Student,"Below 30,000",Daily,Both equally,Sometimes,Often,Sometimes,Sometimes,Yes,2,Buy-one-get-one free,Often,Fixed amount discount,Somewhat important,Yes,Diwali Sales,Maybe,Sometimes,Very important,Yes,Somewhat influences,Neutral,Positive,
28/09/2024 10:52:06,16-25,Male,Student,"Below 30,000",Weekly,Both equally,Sometimes,Sometimes,No,Yes,Yes,2,Percentage discount,Rarely,Percentage discount,Very important,No,Diwali Sales,No,No,Very important,Yes,Somewhat influences,Somewhat likely,Neutral,
28/09/2024 10:54:47,16-25,Male,Student,"30,000-59,000",Monthly,Both equally,Sometimes,Often,Sometimes,Sometimes,No,4,Percentage discount,Often,Percentage discount,Somewhat important,No,End-of-Season Sales,Maybe,Sometimes,Somewhat important,No,Neutral,Somewhat likely,Positive,
28/09/2024 11:16:06,16-25,Female,Student,"Below 30,000",Monthly,Online,Often,Sometimes,No,Yes,Yes,1,Buy-one-get-one free,Rarely,Percentage discount,Somewhat important,Yes,Flash Sales,No,No,Neutral,Yes,Somewhat influences,Neutral,Neutral,
28/09/2024 11:34:55,36-45,Male,Student,"90,000-1,19,000",Monthly,Both equally,Often,Sometimes,Yes,Sometimes,Yes,3,Flash sales/limited-time offers,Rarely,Fixed amount discount,Somewhat important,Yes,Online Exclusive Discounts,Yes,Yes,Very important,Neutral,Somewhat influences,Neutral,Neutral,
28/09/2024 11:38:50,16-25,Male,Student,"Below 30,000",Rarely,Both equally,Often,Often,Yes,Yes,Yes,2,Percentage discount,Often,Fixed amount discount,Somewhat important,No,End-of-Season Sales,Maybe,No,Somewhat important,Yes,Somewhat influences,Somewhat likely,Neutral,
